State,Population,Area (sqr miles),Population Density,Abbreviation
Alabama,5024279,50645,99.20582486,AL
Alaska,733391,570641,1.285205585,AK
Arizona,7151502,113594,62.95668785,AZ
Arkansas,3011524,52035,57.87496877,AR
California,39538223,155779,253.8097112,CA
Colorado,5773714,103642,55.70824569,CO
Connecticut,3605944,4842,744.7220157,CT
Delaware,989948,1949,507.926116,DE
District of Columbia,689545,61,11304.01639,DC
Florida,21538187,53625,401.6445128,FL
Georgia,10711908,57513,186.251943,GA
Hawaii,1455271,6423,226.5718512,HI
Idaho,1839106,82643,22.253621,ID
Illinois,12812508,55519,230.7769953,IL
Indiana,6785528,35826,189.4023335,IN
Iowa,3190369,55857,57.11672664,IA
Kansas,2937880,81759,35.93341406,KS
Kentucky,4505836,39486,114.1122423,KY
Louisiana,4657757,43204,107.8084668,LA
Maine,1362359,30843,44.17076808,ME
Maryland,6177224,9707,636.3679819,MD
Massachusetts,7029917,7800,901.2714103,MA
Michigan,10077331,56539,178.23681,MI
Minnesota,5706494,79627,71.66531453,MN
Mississippi,2961279,46923,63.10932805,MS
Missouri,6154913,68742,89.53642606,MO
Montana,1084225,145546,7.449363088,MT
Nebraska,1961504,76824,25.53243778,NE
Nevada,3104614,109781,28.28006668,NV
New Hampshire,1377529,8953,153.8622808,NH
New Jersey,9288994,7354,1263.121295,NJ
New Mexico,2117522,121298,17.45718808,NM
New York,20201249,47126,428.6646225,NY
North Carolina,10439388,48618,214.7226953,NC
North Dakota,779094,69001,11.29105375,ND
Ohio,11799448,40861,288.7704168,OH
Oklahoma,3959353,68595,57.72072308,OK
Oregon,4237256,95988,44.14360128,OR
Pennsylvania,13002700,44743,290.6085868,PA
Rhode Island,1097379,1034,1061.294971,RI
South Carolina,5118425,30061,170.2679552,SC
South Dakota,886667,75811,11.69575655,SD
Tennessee,6910840,41235,167.5964593,TN
Texas,29145505,261232,111.5694287,TX
Utah,3271616,82170,39.81521236,UT
Vermont,643077,9217,69.7707497,VT
Virginia,8631393,39490,218.5716131,VA
Washington,7705281,66456,115.9456031,WA
West Virginia,1793716,24038,74.6200183,WV
Wisconsin,5893718,54158,108.8245135,WI
Wyoming,576851,97093,5.941221303,WY
