X,Y,Name,Address,County,TELEPHONE,Email,Website,NAICS_Code,Infra_Type,Feedstock,State
-80.2411479876569,25.838464016951,American Salvage,"7001 NW 27th Ave, Miami, FL, 33147", ,(305) 691-7001,trw@americansalvage.com,http://www.americansalvage.com/,562920,Wood Secondary Processors,Wood,FL
-82.6820550033273,36.1132569965503,Appalachian Reclaim Barns,"6945 Graystone Rd, Alfton, TN, 37616", ,(423) 278-4739,kingbud032@gmail.com, ,562920,Wood Secondary Processors,Wood,TN
-89.9228993,33.5133877000001,Blue Ox Lumber,"584 County Road 293, Carrollton, MS, 38917", ,(601) 259-3224,thaddeusrayd@gmail.com, ,562920,Wood Secondary Processors,Wood,MS
-90.1560369646903,32.5209009938505,Delta Deconstruction,"130 Providence Drive, Madison, MS, 39110", ,(601) 573-9892,deltadeconstructionllc@gmail.com, ,562920,Wood Secondary Processors,Wood,MS
-88.269305696404,42.0108841283798,"Direct Supply, Inc.","1168 St. Charles Street, Elgin, IL, 60120", ,(630) 345-3913,directsupplyelgin@gmail.com,http://www.directsupply1.com/,562920,Wood Secondary Processors,Wood,IL
-83.1303630225036,40.0940119941226,H and S Forest Products,"525 Metro Place North, Suite 200, Dublin, OH, 43017", ,(800) 297-6283,jromelfanger@hsforest.com,http://www.hsforest.com/,562920,Wood Secondary Processors,Wood,OH
-87.7170039749317,42.0140770180217,"Horigan Urban Forest, Inc.","7255 St. Louis Ave., Skokie, IL, 60076", ,(847) 568-1340,bahorigan@sbcglobal.net,http://horiganufp.com/information.php?info_id,562920,Wood Secondary Processors,Wood,IL
-75.2891030992068,40.3758096295433,JC Woodworking,"255 RT 313 Corner of N 5th St, Perkasie, PA, 18944", ,(267) 404-2214,jcwoodworking@oldreclaimedwood.com, ,562920,Wood Secondary Processors,Wood,PA
-71.1473982739949,42.3928321303766,Longleaf Lumber,"115 Fawcett St, Cambridge, MA, 2138", ,(617) 871-6611,info@longleaflumber.com,https://www.longleaflumber.com/,562920,Wood Secondary Processors,Wood,MA
-87.2392240107242,37.6985299902496,Ole Bigwood,"5897 Horrell Rd, Owensboro, KY, 42301", ,(270) 302-5262,Dknight7797@gmail.com, ,562920,Wood Secondary Processors,Wood,KY
-81.4064200322173,40.7854980094291,The Stock Pile,"1387 Clarendon Ave SW, Canton, OH, 44710", ,(330) 455-4585,thestockpile@att.net,http://www.thestockpile.org/,562920,Wood Secondary Processors,Wood,OH
-86.1017539846254,40.5008769922429,Touby Pike Recycling LLC,"1488 Touby Pike, Kokomo, IN, 46901", ,(765) 454-7600,DMARTIN2456@YAHOO.COM,http://www.recyclingkokomoin.com/,562920,Wood Secondary Processors,Wood,IN
-81.5623439669433,41.0365640050902,Tri County Pallet,"900 Flora Ave., Akron, OH, 44312", ,(330) 848-0313,info@tricountypallet.net,http://www.tricountypallet.net/,562920,Wood Secondary Processors,Wood,OH
-88.4430789614297,44.2604859938195,Urban Evolutions,"2401 W. College Avenue, Appleton, WI, 54914", ,(920) 380-4149,info@urbanevolutions.com,http://www.urbanevolutions.com/,562920,Wood Secondary Processors,Wood,WI
-95.3724689760117,35.6739220142709,"Whittinghill Disposal Service, Inc.","6000 S. Cherokee St., Muskogee, OK, 74403", ,(918) 683-5181,tfaulk@whittinghilldisposal.com,http://www.whittinghilldisposal.com/,562920,Wood Secondary Processors,Wood,OK
-116.4903595,43.6960251000001,3K Ranch,"PO Box 480, Star, ID, 83669", ,(208) 841-7899, ,http://www.3kranch.com/,562920,Wood Recycling Facility,Wood,ID
-97.6419362026109,30.1271889764799,A & R Demolition,"13201 FM 812, Del Valle, TX, 78617", ,(512) 243-0512, ,https://reusewood.org/arDemolition.com,562920,Wood Recycling Facility,Wood,TX
-84.0274359583983,34.9201909801551,A Step Above Stables,"696 Mauney Circle, Blairsville, GA, 30512", ,(706) 745-9051,astepabove19@gmail.com,http://www.astepabovestables.com/boarding-2/,562920,Wood Recycling Facility,Wood,GA
-76.5051660204796,39.3760790207312,A-AAA Tree Service,"4215 R Ridge Road, Perry Hall, MD, 21236", ,(410) 321-0921, ,http://www.treeworkmd.com/,562920,Wood Recycling Facility,Wood,MD
-97.227624038806,32.5245739857315,Advanced Tree Services North Texas Tree,"6200 Cook Hills Rd, Burleson, TX, 76028", ,(817) 249-8733, ,http://www.northtexastree.com/services/,562920,Wood Recycling Facility,Wood,TX
-74.7425199999999,40.9891600000001,AG Choice,"PO Box 1031, Andover, NJ, 7821", ,(973) 786-5176, ,http://www.ag-choice.com/,562920,Wood Recycling Facility,Wood,NJ
-70.7872226375393,43.1435089517395,Aggregate Recycling Corp.,"434 Dow Hwy, Eliot, ME, 3903", ,(207) 439-5584, ,www.aggregateRecycling.com,562920,Wood Recycling Facility,Wood,ME
-86.4083650086113,35.8581430026601,AJ's Tree Service,"1109 W College St, Murfeesboro, TN, 37129", ,(615) 896-0859,matt@ajtree.com,http://ajtree.com/,562920,Wood Recycling Facility,Wood,TN
