X,Y,Name,Address,County,TELEPHONE,Email,Website,NAICS_Code,Infra_Type,Feedstock,State
-88.2099823425885,43.4660277626579,"A & W Iron & Metal, Inc.","7588 Otten Ln, Kewaskum, WI, 530409400", , , , ,562920,MRF, ,WI
-87.9394389819071,42.9816560088572,A-1 Recycling-Div of The Peltz,"2020 W Morgan Ave, Milwaukee, WI, 532211533", , , , ,562920,MRF, ,WI
-92.194212475882,34.7081598847677,Accura Paper Recycling Inc (Waste Management),"7900 Sloane Dr, Little Rock, AR, 722063893",Pulaski,(501) 490-0733, , ,562920,MRF, ,AR
-73.9119363547824,40.7977148009453,Action Environmental Group,"920 E 132nd St, Bronx, NY, 104543629", , , , ,562920,MRF, ,NY
-83.8994189835616,38.8930659829142,Adams Brown Recycling Station,"9262 Mount Orab Pike, Georgetown, OH, 451219311", , , , ,562920,MRF, ,OH
-117.290927012121,34.4450500162529,Advance Disposal Co,"17105 Mesa St, Hesperia, CA, 923455155",San Bernardino,(760) 948-3122, , ,562920,MRF, ,CA
-84.3252200001502,34.0446579847694,Advanced Disposal LLC,"300 Colonial Center Pkwy # 2, Roswell, GA, 300764899",Fulton,(678) 341-7144, , ,562920,MRF, ,GA
-87.7426859586233,43.7243730126527,"Advanced Disposal Services Solid Waste Midwest, LLC","2905 Paine Ave, Sheboygan, WI, 530816428", , , , ,562920,MRF, ,WI
-89.437893018796,43.1868460044204,"Advanced Disposal Services Solid Waste Midwest, LLC","300 Raemisch Rd, Waunakee, WI, 535979665", , , , ,562920,MRF, ,WI
-89.5004309851213,44.4561989905575,"Advanced Disposal Services Solid Waste Midwest, LLC","600 Moore Rd, Plover, WI, 544673148", , , , ,562920,MRF, ,WI
-73.4325491887119,41.3993921763725,Advanced Recycling Corporation,"307 White St, Danbury, CT, 06810",Fairfield,(203) 797-0378, , ,562920,MRF, ,CT
-122.151497026045,37.709726997516,"Alameda County Industries, LLC","610 Aladdin Ave, San Leandro, CA, 945774302",Alameda,(510) 357-7282, ,www.alamedacountyindustries.com,562920,MRF, ,CA
-74.0447237649795,40.7393769298088,All American Recycling Corp. of Clifton,"2 Hope St, Jersey City, NJ, 07307", , , , ,562920,MRF, ,NJ
-80.1588390395784,26.2907290068878,"All County Waste Recycling, Inc.","1810 SW 42nd Way, Deerfield Beach, FL, 334429000",Broward, , , ,562920,MRF, ,FL
-72.6562310348526,41.7399050070625,"All Waste, Inc.","143 Murphy Rd, Hartford, CT, 06114",Hartford, , , ,562920,MRF, ,CT
-78.8977331756138,42.9659068318856,"Allied Waste Industries, LLC","2299 Kenmore Ave, Buffalo, NY, 142071311", , , , ,562920,MRF, ,NY
-82.1706959615324,41.2981319806065,"Allied Waste Industries, LLC","43502 Oberlin Elyria Rd, Oberlin, OH, 440749591", , , , ,562920,MRF, ,OH
-75.3546730314171,40.0948710134695,Allied Waste Recyclery,"215 E Dekalb Pike, King of Prussia, PA, 194062116", , , , ,562920,MRF, ,PA
-104.994380010755,39.7975330146951,Alpine Waste and Recycling,"645 W 53rd Pl, Denver, CO, 802161600",Denver,(303) 744-9881, ,www.alpinewaste.com,562920,MRF, ,CO
-77.5005140050782,38.7426710029797,"American Disposal Recycling Services, Inc","10370 Central Park Dr, Manassas, VA, 201104196", , , , ,562920,MRF, ,VA
-77.528152576428,38.7332740932392,American Recycling Center,"10220 Residency Rd, Manassas, VA, 201102011", , , , ,562920,MRF, ,VA
-84.5453290289944,33.7568849948034,American Recycling of GA,"4785 Fulton Industrial Blvd SW, Atlanta, GA, 30336", , , , ,562920,MRF, ,GA
-82.6475870249083,35.5409129874506,"American Recycling of Western North Carolina, LLC","1291 Sand Hill Rd, Candler, NC, 287156907", , , , ,562920,MRF, ,NC
-85.5883790112978,44.7108169853272,"American Waste, Inc.","280 Hughes Dr, Traverse City, MI, 496968255", , , , ,562920,MRF, ,MI
-88.2868869734401,42.6538399852132,Andy's Recycling,"6320 McHenry St, Burlington, WI, 53105", , , , ,562920,MRF, ,WI
-77.7934509598619,39.6261479890097,Apple Valley Recycling Center,"16608 Hunters Green Pkwy, Hagerstown, MD, 217402187", , , , ,562920,MRF, ,MD
-89.6649420120123,40.5279110188261,Area Recycling Inc,"14323 State Route 29, Pekin, IL, 615548071",Tazewell,(309) 353-3333, ,www.pdcarea.com,562920,MRF, ,IL
