X,Y,Name,Address,County,TELEPHONE,Email,Website,NAICS_Code,Infra_Type,Feedstock,State
-118.189553030855,34.062146993383,A & A Wiping Cloth,"4400 Worth Street, Los Angeles, CA, 90063",Los Angeles,(323) 267-1516, ,www.aawiping.com,562920,Textiles Recycling Facility,Textiles,CA
-95.299936009245,29.8012760001241,A-1 Liberty International Used Clothes & Shoes,"4411 Eastpark Drive, Houston, TX, 77028", ,(713) 672-6080, ,www.a1liberty.com,562920,Textiles Recycling Facility,Textiles,TX
-95.2567400388684,29.7722609945445,AJWA Rags LLC,"9990 East Freeway Suite C, Houston, TX, 77029", ,(832) 794-6284, , ,562920,Textiles Recycling Facility,Textiles,TX
-80.2566300333741,25.8254209793292,AMCLEX,"5761 NW 37 Avenue, Miami, FL, 33142", ,(305) 634-1757, ,www.amclex.com,562920,Textiles Recycling Facility,Textiles,FL
-80.2027390060028,35.3531640141054,"American Fiber & Finishing, Inc.","225 North Depot Street, Albemarle, NC, 28001", ,(978) 590-5508, ,www.affinc.com,562920,Textiles Recycling Facility,Textiles,NC
-95.3000349995215,29.7623449935403,"American Rags, Inc.","1360 Boyles Street, Houston, TX, 77020", ,(713) 675-7247, , ,562920,Textiles Recycling Facility,Textiles,TX
-122.335661017492,37.9194700009747,"American Textile & Supply, Inc.","3439 Regatta Boulevard, Richmond, CA, 94804-4103", ,(510) 236-7424, ,www.americantex.com,562920,Textiles Recycling Facility,Textiles,CA
-84.4058600274873,33.6154679970888,Atlanta Recycling,"5125 Blalock Industrial Blvd, Atlanta, GA, 30349", ,(770) 997-7720, ,www.atlrecycling.com,562920,Textiles Recycling Facility,Textiles,GA
-95.2679520078319,29.7527089900117,Atlantic Clothing,"1825 Turning Basin, Houston, TX, 77029", ,(281) 781-3462, , ,562920,Textiles Recycling Facility,Textiles,TX
-70.7583564012095,42.0038522287961,Bay State Textiles Inc.,"17 Joseph St, Kingston, MA, 2364", ,(508) 415-3855, ,www.baystatetextiles.com,562920,Textiles Recycling Facility,Textiles,MA
-86.7189239928121,33.3969140208313,Brook Valley Management Inc,"4880 Valleydale Road, Birmingham, AL, 35242", ,(205) 408-6696, , ,562920,Textiles Recycling Facility,Textiles,AL
-93.1918819962032,44.9655480100614,"Bro-Tex, Inc.","800 Hampden Avenue, St. Paul, MN, 55114-1299", ,(651) 645-5721, ,www.brotex.com,562920,Textiles Recycling Facility,Textiles,MN
-122.336114981368,47.5711180165276,Buffalo Export LLC,"99 South Spokane Street, Seattle, WA, 98134-2218", ,(206) 682-9900, ,www.buffaloexportllc.com,562920,Textiles Recycling Facility,Textiles,WA
-122.235475,47.3809000000002,"Buffalo Industries, LLC","7979 S. 108th St., Kent, WA, 98032", ,(253) 277-1815, ,www.buffaloindustries.com,562920,Textiles Recycling Facility,Textiles,WA
-80.6239980368987,32.9472519890161,Carolina Textiles Inc.,"68 Anderson Road, Walterboro, SC, 29488", ,(843) 538-8644, , ,562920,Textiles Recycling Facility,Textiles,SC
-73.7803760980164,41.0602632914951,CN International,"137 Friendship CT, White Plains, NY, 10603", ,(646) 932-4426, ,www.cninternationalusa.com,562920,Textiles Recycling Facility,Textiles,NY
-105.8900521,40.1505193000001,"CYCLA, LLC","PO Box 1047, Granby, CO, 80446", ,(303) 234-0579, ,www.cyclallc.com,562920,Textiles Recycling Facility,Textiles,CO
-73.7751522445004,41.0738425613725,Cyntex Company,"7-11 Legion Drive, Valhalla, NY, 10595", ,(914) 471-4922, ,www.cyntexco.com,562920,Textiles Recycling Facility,Textiles,NY
-80.2498639934929,25.825545995415,Dis Vintage LLC,"5600 NW 32nd Ave, Miami, FL, 33142", ,(305) 633-1250, ,www.disvintage.com,562920,Textiles Recycling Facility,Textiles,FL
-80.1047559828053,26.8375320159074,"E F Group Enterprises, Inc.","4440 PGA BLVD STE 600, Palm Beach Gardens, FL, 33410", ,(617) 416-0964, , ,562920,Textiles Recycling Facility,Textiles,FL
