OBJECTID,Zip_Code,State,Population,Wood_Tons_Not_Recycled_INT,Wood_Tons_Recycled_INT,Wood_Tons_Generated_INT,Wood_Tons_Recyc_Per_Cap_INT,Wood_Tons_Gen_Per_Cap_INT,Shape_Length,Shape_Area,StateAbbr
1,47337,Indiana,138,10,4,14,0,0,0.0368643790250866,3.18752269668668e-05,IN
2,47514,Indiana,1556,117,43,160,0,0,0.300624419010523,0.00187528019354327,IN
3,46045,Indiana,39,3,1,4,0,0,0.0337070602855793,2.06887363901703e-05,IN
4,46704,Indiana,38,3,1,4,0,0,0.0340437217830478,1.86212664050795e-05,IN
5,47585,Indiana,800,60,22,82,0,0,0.548067863471981,0.0109225386490262,IN
6,46534,Indiana,11686,877,322,1199,0,0,1.20456072044129,0.0340151495372221,IN
7,46127,Indiana,287,22,8,29,0,0,0.455458211118553,0.00560158359833957,IN
8,47660,Indiana,4868,365,134,500,0,0,1.09898137824258,0.0236549773450597,IN
9,47597,Indiana,904,68,25,93,0,0,0.944904417301541,0.0132698607720519,IN
10,47424,Indiana,8965,673,247,920,0,0,2.22761944753711,0.0505931979426205,IN
11,47519,Indiana,847,64,23,87,0,0,0.781402585968463,0.00647257298757981,IN
12,46235,Indiana,33063,2482,912,3393,0,0,0.310761375449908,0.00261122700082973,IN
13,46118,Indiana,5068,380,140,520,0,0,0.710863732801653,0.0148569673913702,IN
14,46224,Indiana,37074,2783,1022,3805,0,0,0.252763263240559,0.00195288679489968,IN
15,46256,Indiana,23837,1789,657,2446,0,0,0.40020601093065,0.00325633778404815,IN
16,47948,Indiana,1485,111,41,152,0,0,0.844497914944425,0.0161266690147763,IN
17,47951,Indiana,2168,163,60,223,0,0,0.757463005161101,0.0164459676550157,IN
18,46254,Indiana,40276,3023,1111,4134,0,0,0.290684918244657,0.00383281361760356,IN
19,46077,Indiana,29296,2199,808,3007,0,0,0.725944291844406,0.0121537187529199,IN
20,47575,Indiana,955,72,26,98,0,0,0.528380056763393,0.00605064728451097,IN
21,46910,Indiana,3376,253,93,346,0,0,0.790329031929815,0.016823293825248,IN
22,47432,Indiana,4386,329,121,450,0,0,1.10894067738862,0.0226519884304261,IN
23,46120,Indiana,5332,400,147,547,0,0,1.22892514244097,0.0251044295442592,IN
24,47841,Indiana,2305,173,64,237,0,0,0.767207665342507,0.017772628236151,IN
25,46552,Indiana,6907,518,190,709,0,0,0.720510274890085,0.0182148392421775,IN
26,47633,Indiana,2384,179,66,245,0,0,0.860607210542655,0.0163141749603808,IN
27,47631,Indiana,2217,166,61,228,0,0,0.976812002995545,0.0159816211438235,IN
28,47620,Indiana,13129,985,362,1347,0,0,2.01085575169815,0.0576975109564316,IN
29,47616,Indiana,265,20,7,27,0,0,0.956212683067581,0.0126334341615992,IN
30,46759,Indiana,508,38,14,52,0,0,0.672283976082086,0.00770725498340744,IN
31,47438,Indiana,4475,336,123,459,0,0,0.931509130746413,0.0165738133453615,IN
32,46731,Indiana,759,57,21,78,0,0,0.322360076217818,0.00436505836399246,IN
33,47404,Indiana,23832,1789,657,2446,0,0,0.890932862929211,0.0141997459327472,IN
34,46970,Indiana,23499,1764,648,2412,0,0,1.63701014236638,0.050469120993347,IN
35,47584,Indiana,139,10,4,14,0,0,0.0462614855588884,7.99712509907752e-05,IN
36,46761,Indiana,12325,925,340,1265,0,0,1.45641360729826,0.0347562758181889,IN
37,46571,Indiana,5682,426,157,583,0,0,0.772846163127662,0.0126109464302686,IN
38,47283,Indiana,3193,240,88,328,0,0,0.985434800944909,0.018037711834629,IN
39,46750,Indiana,26499,1989,731,2720,0,0,1.63242476091103,0.0566550764006859,IN
40,46590,Indiana,4925,370,136,505,0,0,0.206265506408278,0.000807066264255201,IN
41,46368,Indiana,38661,2902,1066,3968,0,0,0.500863053117691,0.00778104377518011,IN
42,47371,Indiana,12200,916,336,1252,0,0,1.51579907262499,0.0603677969115682,IN
43,47421,Indiana,27417,2058,756,2814,0,0,2.11498969577288,0.0499783554643142,IN
44,46143,Indiana,57211,4294,1578,5872,0,0,0.904213310704949,0.013463134882203,IN
45,47234,Indiana,1457,109,40,150,0,0,0.551674008944717,0.0090632945346412,IN
46,47380,Indiana,1476,111,41,151,0,0,0.961669173797906,0.017038517971739,IN
47,46071,Indiana,3148,236,87,323,0,0,0.801977112022811,0.0191285524158282,IN
48,47138,Indiana,4378,329,121,449,0,0,0.997665479770615,0.0201992128973719,IN
49,46510,Indiana,3924,295,108,403,0,0,1.03473640718591,0.0191558711041303,IN
50,47336,Indiana,3243,243,89,333,0,0,0.743129713076203,0.0128958740354192,IN
51,47227,Indiana,2299,173,63,236,0,0,0.945659447296548,0.012705536646458,IN
52,47170,Indiana,14919,1120,411,1531,0,0,2.02921145895697,0.039767818473968,IN
53,47282,Indiana,293,22,8,30,0,0,0.0348929304772487,5.57906403180914e-05,IN
54,47959,Indiana,2906,218,80,298,0,0,0.930067977632344,0.0188867273205336,IN
55,46130,Indiana,2669,200,74,274,0,0,0.669993623750605,0.00821630298739337,IN
56,47982,Indiana,173,13,5,18,0,0,0.0286823990156388,3.59431426411866e-05,IN
57,47320,Indiana,3648,274,101,374,0,0,0.65891739915176,0.00901052855919889,IN
58,47991,Indiana,975,73,27,100,0,0,0.580433852771452,0.00819657362624129,IN
59,47038,Indiana,1716,129,47,176,0,0,0.468278061756509,0.00772303208230662,IN
60,47374,Indiana,45571,3420,1257,4677,0,0,1.12098967861738,0.0329387682665859,IN
61,46920,Indiana,1103,83,30,113,0,0,0.659295056491761,0.00877485612158886,IN
62,46985,Indiana,1438,108,40,148,0,0,0.783440793085081,0.0182788872105207,IN
63,47994,Indiana,309,23,9,32,0,0,0.470915828994248,0.00595710829952954,IN
64,47955,Indiana,1016,76,28,104,0,0,0.59502734682821,0.0071656751052501,IN
65,47957,Indiana,1908,143,53,196,0,0,0.871519673860875,0.0167078368926181,IN
66,47172,Indiana,17813,1337,491,1828,0,0,0.625237008977378,0.00659580400870348,IN
67,40291,Kentucky,37812,,,,,,0.639207727235472,0.00610449781059636,KY
68,42081,Kentucky,1659,,,,,,1.83002103214361,0.0306498699987068,KY
69,42003,Kentucky,28164,,,,,,0.896246950922144,0.0186147076427607,KY
70,40509,Kentucky,41645,,,,,,0.902083782016408,0.0127503439691998,KY
71,40071,Kentucky,15670,,,,,,1.38833101431323,0.0326193132655194,KY
72,41005,Kentucky,24451,,,,,,0.983001775708793,0.0141135607155255,KY
73,40215,Kentucky,20754,,,,,,0.174323316568194,0.000932081371719643,KY
74,41169,Kentucky,5185,,,,,,0.470792089028315,0.00178307577508455,KY
75,41063,Kentucky,3033,,,,,,0.764654920226682,0.00863498216135663,KY
76,40025,Kentucky,91,,,,,,0.125665146223106,0.000344980986834455,KY
77,40511,Kentucky,33909,,,,,,1.11999274808589,0.0229812883189029,KY
78,42701,Kentucky,50647,,,,,,2.24337497833428,0.0432803285179764,KY
79,40502,Kentucky,27269,,,,,,0.22780972347557,0.00197070008100967,KY
80,42301,Kentucky,44079,,,,,,1.41500307382798,0.0464185373415926,KY
81,42049,Kentucky,1665,,,,,,1.02344137613707,0.0117007087232436,KY
82,40003,Kentucky,1886,,,,,,0.776607505043128,0.0116656548279702,KY
83,40212,Kentucky,16700,,,,,,0.232900150197565,0.00102232948092507,KY
84,42171,Kentucky,7586,,,,,,1.94183096020211,0.0272280171516514,KY
85,42370,Kentucky,19,,,,,,0.0450713290784926,3.63763091777226e-05,KY
86,41049,Kentucky,2309,,,,,,1.20967727485742,0.0231355062653169,KY
87,40336,Kentucky,12691,,,,,,2.37955360609327,0.0560742410013183,KY
88,41006,Kentucky,4091,,,,,,1.20152620475793,0.0151369696875203,KY
89,42603,Kentucky,59,,,,,,0.447814597958567,0.00299641252999191,KY
90,42347,Kentucky,6204,,,,,,1.60455220540396,0.0324365248187361,KY
91,42079,Kentucky,1570,,,,,,0.938472243451818,0.0142360955061411,KY
92,42088,Kentucky,2416,,,,,,0.87120659157093,0.0178396333665058,KY
93,40374,Kentucky,1622,,,,,,1.12667809092739,0.0164314332821769,KY
94,42170,Kentucky,1481,,,,,,0.754719743001654,0.00808915682373678,KY
95,40769,Kentucky,18259,,,,,,1.72083743599237,0.0741623533696505,KY
96,41179,Kentucky,7535,,,,,,2.3466193105196,0.0909622784558471,KY
97,41040,Kentucky,7269,,,,,,1.73235981656158,0.0406157935773473,KY
98,42743,Kentucky,8716,,,,,,1.71285181001161,0.0547037349430081,KY
99,40468,Kentucky,1708,,,,,,0.717756423164603,0.00789928826929773,KY
100,42518,Kentucky,2644,,,,,,0.723409165124102,0.00951960899172701,KY
101,42273,Kentucky,500,,,,,,0.415808801985388,0.00436072349161818,KY
102,42038,Kentucky,5134,,,,,,1.26472204744498,0.0255789079280985,KY
103,40902,Kentucky,1412,,,,,,0.57536842183591,0.00883996905623571,KY
104,41603,Kentucky,1423,,,,,,0.698617018498353,0.00371856730795182,KY
105,42411,Kentucky,1934,,,,,,1.72625688219065,0.0209293123162014,KY
106,41640,Kentucky,1105,,,,,,0.919431123615391,0.0100311326224026,KY
107,41095,Kentucky,3558,,,,,,0.905466659057044,0.00760367141981791,KY
108,41086,Kentucky,3070,,,,,,0.897525626958582,0.0129792995592315,KY
109,41553,Kentucky,1845,,,,,,0.538036300493591,0.0101868642517174,KY
110,41311,Kentucky,6758,,,,,,1.59944244460576,0.0456344337058946,KY
111,41003,Kentucky,2185,,,,,,1.05977914633043,0.0240261043225779,KY
112,42437,Kentucky,8155,,,,,,1.47716051298231,0.0452040025444167,KY
113,42206,Kentucky,5843,,,,,,1.10315811841259,0.0299339171630533,KY
114,42653,Kentucky,4339,,,,,,1.28292677883156,0.0215538663415488,KY
115,42408,Kentucky,6720,,,,,,1.7163561788204,0.0384573545292456,KY
116,41659,Kentucky,367,,,,,,0.318930583358099,0.00279364476931061,KY
117,41256,Kentucky,3299,,,,,,0.543043588436219,0.00514216843881279,KY
118,41840,Kentucky,650,,,,,,0.292116673565015,0.00130501095663264,KY
119,42265,Kentucky,954,,,,,,0.9509752940825,0.014361064988138,KY
120,42254,Kentucky,135,,,,,,0.44095554155331,0.00245893677036802,KY
121,41568,Kentucky,753,,,,,,0.480244963854319,0.00656191105461363,KY
122,41539,Kentucky,1458,,,,,,0.641580641496681,0.0112205257858058,KY
123,41425,Kentucky,1080,,,,,,0.587664608417155,0.00783622245819535,KY
124,40040,Kentucky,335,,,,,,0.492934516127827,0.00479360678816766,KY
125,40440,Kentucky,2261,,,,,,0.332730704627014,0.00350218874906029,KY
126,40915,Kentucky,849,,,,,,0.230056131485115,0.00145550294793938,KY
127,42441,Kentucky,1679,,,,,,0.87941360857506,0.0143076230395914,KY
128,42324,Kentucky,1249,,,,,,0.748475589408239,0.00844664053848622,KY
129,41124,Kentucky,785,,,,,,0.803778991922013,0.0157634280724686,KY
130,41201,Kentucky,131,,,,,,0.633488060190328,0.00317053427201437,KY
131,40949,Kentucky,780,,,,,,0.202775655015285,0.000512417793338425,KY
132,41621,Kentucky,107,,,,,,0.0794398741417017,0.000215327014447263,KY
133,41725,Kentucky,158,,,,,,0.210412901626453,0.00132612234405536,KY
134,41535,Kentucky,526,,,,,,0.122743087642561,0.00071400353393857,KY
135,40346,Kentucky,725,,,,,,0.565937369460251,0.00503554043281702,KY
136,41714,Kentucky,418,,,,,,0.322370532046525,0.00317224553172393,KY
137,41548,Kentucky,1187,,,,,,0.395068328285669,0.00407223402581246,KY
138,46385,Indiana,39398,2957,1086,4043,0,0,1.05390858479087,0.0226962831703111,IN
139,47838,Indiana,3772,283,104,387,0,0,1.12088388195327,0.0281110406583919,IN
140,46301,Indiana,516,39,14,53,0,0,0.219120959234752,0.00186021642165579,IN
141,47129,Indiana,19684,1477,543,2020,0,0,0.317823704590739,0.00260898617101664,IN
142,46550,Indiana,12624,948,348,1296,0,0,0.98312686640454,0.0200051101217802,IN
143,47989,Indiana,1430,107,39,147,0,0,0.657524393283745,0.0110655479140582,IN
144,46030,Indiana,2978,224,82,306,0,0,1.14926276364412,0.00919277599691408,IN
145,46034,Indiana,6649,499,183,682,0,0,0.714038554863479,0.00881511431789658,IN
146,47117,Indiana,4531,340,125,465,0,0,1.01220743497314,0.0221059952432942,IN
147,46992,Indiana,16260,1220,448,1669,0,0,1.48624769022651,0.0461871166232635,IN
148,47142,Indiana,1049,79,29,108,0,0,0.820877898198999,0.00831593986228321,IN
149,46946,Indiana,34,3,1,3,0,0,0.0483350301507878,9.18244062535417e-05,IN
150,47110,Indiana,417,31,11,43,0,0,0.407659724509756,0.00223746886535909,IN
151,46057,Indiana,1269,95,35,130,0,0,0.640888358642697,0.00696760111227518,IN
